ticker,tv_exchange,tv_symbol,rating,timeframe
AA,NYSE,AA,BUY,4h
AAL,NASDAQ,AAL,BUY,4h
ABSI,NASDAQ,ABSI,BUY,4h
ABT,NYSE,ABT,BUY,4h
ACHR,NYSE,ACHR,BUY,4h
ACI,NYSE,ACI,BUY,4h
AEO,NYSE,AEO,BUY,4h
AES,NYSE,AES,BUY,4h
AGNC,NASDAQ,AGNC,BUY,4h
AI,NYSE,AI,BUY,4h
ALLY,NYSE,ALLY,BUY,4h
AMAT,NASDAQ,AMAT,BUY,4h
AMCR,NYSE,AMCR,BUY,4h
AMD,NASDAQ,AMD,BUY,4h
APLD,NASDAQ,APLD,BUY,4h
ARRY,NASDAQ,ARRY,BUY,4h
ASTS,NASDAQ,ASTS,BUY,4h
ATXS,NASDAQ,ATXS,BUY,4h
AVGO,NASDAQ,AVGO,BUY,4h
AVTR,NYSE,AVTR,BUY,4h
BAC,NYSE,BAC,BUY,4h
BBAI,NYSE,BBAI,BUY,4h
BE,NYSE,BE,BUY,4h
BTBT,NASDAQ,BTBT,BUY,4h
BTDR,NASDAQ,BTDR,BUY,4h
BTU,NYSE,BTU,BUY,4h
C,NYSE,C,BUY,4h
CDE,NYSE,CDE,BUY,4h
CIFR,NASDAQ,CIFR,BUY,4h
CLOV,NASDAQ,CLOV,BUY,4h
CMG,NYSE,CMG,BUY,4h
COLD,NYSE,COLD,BUY,4h
CORZ,NASDAQ,CORZ,BUY,4h
CSCO,NASDAQ,CSCO,BUY,4h
CVS,NYSE,CVS,BUY,4h
DLTR,NASDAQ,DLTR,BUY,4h
ELAN,NYSE,ELAN,BUY,4h
ENVX,NASDAQ,ENVX,BUY,4h
EOSE,NASDAQ,EOSE,BUY,4h
FCX,NYSE,FCX,BUY,4h
FHN,NYSE,FHN,BUY,4h
FLNC,NASDAQ,FLNC,BUY,4h
FNB,NYSE,FNB,BUY,4h
GOOG,NASDAQ,GOOG,BUY,4h
GOOGL,NASDAQ,GOOGL,BUY,4h
HL,NYSE,HL,BUY,4h
HPQ,NYSE,HPQ,BUY,4h
HUMA,NASDAQ,HUMA,BUY,4h
IBRX,NASDAQ,IBRX,BUY,4h
IONQ,NYSE,IONQ,BUY,4h
JBLU,NASDAQ,JBLU,BUY,4h
JNJ,NYSE,JNJ,BUY,4h
KDP,NASDAQ,KDP,BUY,4h
KO,NYSE,KO,BUY,4h
KR,NYSE,KR,BUY,4h
LRCX,NASDAQ,LRCX,BUY,4h
LUMN,NYSE,LUMN,BUY,4h
LUV,NYSE,LUV,BUY,4h
M,NYSE,M,BUY,4h
MARA,NASDAQ,MARA,BUY,4h
MNST,NASDAQ,MNST,BUY,4h
MP,NYSE,MP,BUY,4h
MVST,NASDAQ,MVST,BUY,4h
NEE,NYSE,NEE,BUY,4h
NEM,NYSE,NEM,BUY,4h
NVAX,NASDAQ,NVAX,BUY,4h
NVTS,NASDAQ,NVTS,BUY,4h
OKLO,NYSE,OKLO,BUY,4h
ORCL,NYSE,ORCL,BUY,4h
OSCR,NYSE,OSCR,BUY,4h
PACB,NASDAQ,PACB,BUY,4h
PATH,NYSE,PATH,BUY,4h
PCG,NYSE,PCG,BUY,4h
POWI,NASDAQ,POWI,BUY,4h
PPTA,NASDAQ,PPTA,BUY,4h
PTEN,NASDAQ,PTEN,BUY,4h
QBTS,NYSE,QBTS,BUY,4h
QS,NYSE,QS,BUY,4h
QSI,NASDAQ,QSI,BUY,4h
QUBT,NASDAQ,QUBT,BUY,4h
QXO,NYSE,QXO,BUY,4h
RBLX,NYSE,RBLX,BUY,4h
RGTI,NASDAQ,RGTI,BUY,4h
RIOT,NASDAQ,RIOT,BUY,4h
RUN,NASDAQ,RUN,BUY,4h
SHLS,NASDAQ,SHLS,BUY,4h
SLDP,NASDAQ,SLDP,BUY,4h
SMR,NYSE,SMR,BUY,4h
SNDK,NASDAQ,SNDK,BUY,4h
SOFI,NASDAQ,SOFI,BUY,4h
SOUN,NASDAQ,SOUN,BUY,4h
TGT,NYSE,TGT,BUY,4h
TROX,NYSE,TROX,BUY,4h
UEC,AMEX,UEC,BUY,4h
UUUU,AMEX,UUUU,BUY,4h
V,NYSE,V,BUY,4h
VLY,NASDAQ,VLY,BUY,4h
VRT,NYSE,VRT,BUY,4h
WFC,NYSE,WFC,BUY,4h
WULF,NASDAQ,WULF,BUY,4h
ADM,NYSE,ADM,STRONG_BUY,4h
BANC,NYSE,BANC,STRONG_BUY,4h
CLF,NYSE,CLF,STRONG_BUY,4h
CLSK,NASDAQ,CLSK,STRONG_BUY,4h
CSX,NASDAQ,CSX,STRONG_BUY,4h
DAL,NYSE,DAL,STRONG_BUY,4h
DBRG,NYSE,DBRG,STRONG_BUY,4h
HUT,NASDAQ,HUT,STRONG_BUY,4h
INDI,NASDAQ,INDI,STRONG_BUY,4h
IPG,NYSE,IPG,STRONG_BUY,4h
JOBY,NYSE,JOBY,STRONG_BUY,4h
LUNR,NASDAQ,LUNR,STRONG_BUY,4h
PEP,NASDAQ,PEP,STRONG_BUY,4h
PLUG,NASDAQ,PLUG,STRONG_BUY,4h
RCKT,NASDAQ,RCKT,STRONG_BUY,4h
RKLB,NASDAQ,RKLB,STRONG_BUY,4h
RXRX,NASDAQ,RXRX,STRONG_BUY,4h
SYRE,NASDAQ,SYRE,STRONG_BUY,4h
TDOC,NYSE,TDOC,STRONG_BUY,4h
TTI,NYSE,TTI,STRONG_BUY,4h
UAL,NASDAQ,UAL,STRONG_BUY,4h
WMT,NYSE,WMT,STRONG_BUY,4h
